id,signe,definition,gif
3732,QUITTER.GROUPE,"quitter le groupe ou comité, partir, se retirer"
1864,NS:CFLS(NOUVEAU),CFLS
1853,NS:FRANCOIS-HOLLANDE(GARDIEN),François Hollande
3118,GOUT.ALCOOL,"goût, envie"
2060,PT-MAIN,
2432,DE:AUTOMATIQUE.CLICK,automatique
1929,GENERAL.MASTER,"général, comissiare"
3758,HIBOU-O-3,"hibou, chouette"
1768,QUE,"que, comparaison"
1135,DESSINER,"dessin, dessiner, marqueur, art"
1469,CONJUGASION,"conjugaison, conjuguer"
3618,DE:PAS-VRAI,"ce n'est pas vrai, mon oeil, pas possible"
176,DIPLOME,"diplôme, diplômé"
3307,CERF-VOLANT,"cerf-volant, kitesurf, powerkite"
762,FSIGN,morceau de signe
4114,LS.PUISSANCE,"langue des signes, signe, signer rapidement, rythme rapide, bavarde"
1565,TOUCHER.ABEILLE,toucher doucement
173,DIFFERENT,"différent, différence, différemment, autre, autrement"
2757,ECOUTEUR ,écouteur
3834,CERISE,"cerise, cerisier"
1475,DEFINITION(LSF),"définir, définition"
1834,PERSONNE-COUP,"choc, marqué"
2594,TRAVAIL.FAIRE,"travail, travailler, boulot, atelier"
1077,PRECISER,"préciser, détailler"
465,RACISTE,"race, raciste, racisme"
2143,ETE,été (saison)
1204,TISSU,"tissu, sentir"
1624,CONVENTION,"convention, accord"
3934,PARENTS.INVERSE,parents
1340,COMMUNE,"commune, maison communale"
2088,NS:DELPHINE(D-JOUE),delphine
982,REFLECHIR.PARANO,"réfléchir, réflexion, se poser des questions, se demander, réaliser"
380,NON,"ne, non, pas, peut pas"
4134,ERECTION,"érection, bander"
1138,SOURIRE,"sourire, sympathique, chaleureux, lèvres, bouche"
193,ECARTER,"écarter, s'écarter"
1303,ENREGISTRER,"enregistrer, télécharger"
1669,NS:FLAMAND(2-VRAI),"Flamand, néerlandais"
3101,TAPER.MAIN,taper à la main
3179,TOI-MEME,"toi-même, eux-même"
3257,DE:GAGNER,"gagner, yeah, youpi"
3691,LINGUISTIQUE,"linguistique, linguiste"
159,DEHORS.ORDRE,"dehors, vas-y, va t-en, ouste"
3261,EXTREME,exteme
4024,GRELE.ORAGE,"grêle, orage, pluie"
1652,NS:AFGHANISTAN(OUTIL),Afghanistan
3615,CARTE.JEU-SERVICE,carte de jeu
3916,NS:MARTINE(ENFANT),Martine Fraiture 
3622,SEXY,sexy
2293,PROFIL,profil
665,REMARQUER,"remarquer, remarque"
3227,CHIFFRE.PALM-DOWN,chiffre
2062,DE:PROFITE-PREFERE,"dans le but de, profiter, avoir envie, motiver, objectif"
1615,RISQUE.REGIME,"crise, crise économique, ceinture"
2465,SOUTIEN-GORGE,soutien-gorge
2029,NS:ALAIN(DIX-YEUX),Alain
3301,NS:THIERRY(MASTER-1H),Thierry
2350,NS:ROUMANIE(R),Roumanie
2672,CHANDELEUR.RECLAMER,"Chandeleur, 2 février"
1890,ESPRIT,"esprit, spirituel"
3267,NS:OUTREMEUSE(MISS),Outremeuse
1054,AGRANDIR,"agrandir, grandir de taille, grand, long, énorme, grand en largeur"
3045,GRAND-PERE.8.HAUTEUR,grand-père
2188,NS:POLOGNE(P-NEZ),Pologne
1334,DOUCHE,"douche, se laver"
2519,ECHOGRAPHIE,échographie
1456,DE:FRIMEUR,"se mettre en avant, frimer, transfert personnel "
287,HEURE-11,"à onze heures, à vingt-trois heures"
3679,LARD.GOURMANDE,"lard, lardon"
1914,AVIS,"avis, opinion"
2629,CHARGE.LOURD,"avoir plusieurs charges, avoir de nombreuses responsabilités"
1976,PUTAIN,putain
3841,PARENTS.8,parents
2176,JURER,jurer
4053,LUNE,"lune, clair de lune"
3269,NS:BREDENE(B),Bredene
2202,BAVER,"baver, avoir envie"
3734,VOYAGE.BOUCLE,"voyage, circulation, voyager"
3312,NS:HAWAII(N-VISAGE-ASL),"Hawaii, hawaiien"
3338,NS:IPHONE(I-POMME),"iphone, mac, pomme"
1875,NS:LSFB(QUADRILLER),LSFB asbl
3415,NS:STELLA(PETITE),Stella
3393,AVENTURE.CHEMIN,"chercher le chemin, aventure, parcours"
3530,NS:BRASILIA(SCAMPIS),"Brasilia, capitale de Brésil"
894,APPORTER,"apporter, amener, transport, transporter"
2286,BAVARDE.FEU,"bavarder, prendre des nouvelles, avoir une conversation"
1268,GSM,gsm
1837,HOMO,"homosexuel, gay, pd, homo, tapette"
644,JAUNE,jaune
2102,LISTE.POINT,liste
3991,OREILLE,oreille
1201,APPETIT-BON,bon appétit!
620,COIFFEUR,"coiffeur, couper les cheveux"
3809,CHERCHER.AVEUGLE,"(aller) chercher, rechercher"
1607,PAR-MOIS,"par mois, chaque mois"
883,SECONDE,"seconde, tic tac"
1291,SOIGNER,"soin, soigner, entretien, entretenir"
2331,VIRER.B,"dégager, virer, envoyer, renvoyer, rejeter, exclure, exclusion"
53,AU-BOUT,"jusqu'au bout, à bout, à fond"
2540,CHEMINEE.2,Cheminée
1558,COMPOTE,compote (de pommes)
2390,NS:BRABANT-WALLON(W),Brabant Wallon
3091,NS:GAUTHIER(G-FRONT),Gauthier
863,SERVICE,"service, servir, garder (les enfants), à quoi ça sert, ça sert"
3705,FRERE(ASL),frère
394,ORGANISER,"organiser, organisation, maniaque"
1458,COMPRENDRE.MEMOIRE,"comprendre, retenir, mémoriser, apprendre"
2456,MOIS-3.B,trois mois
3590,PAR(LSF),par
821,VITE.VITESSE,"vite, rapide, fort, puissance, accélérer"
3938,ART(ASL),art
79,BIEN,"bien, ça va, super, bon, génial"
1360,INTERNAT ,internat
3835,FARINE.ECRASER,"farine, blé, graine"
985,INTELLIGENT.TETE,"intelligent, intelligence, malin"
2024,NS:BRUNO(B),Bruno
3858,NS:PARIS(EIFFEL),Paris
663,RESPIRER,"respirer, respiration"
843,SUR.DESSUS,"sur, dessus, là dessus"
201,EGAL.CONCURRENCE,concurrence
2205,FEDERATION.AFFILIER,"fédération, affilier "
3054,PATE,"pâte, spaghetti"
1916,VIOLENCE.VOYAGER,"violent, violence, sauvage, violence verbale"
1300,AN-7,sept ans
3784,COW-BOY,cow-boy
2692,FBUOY,
2552,LIT,lit
2667,APRES-MIDI.MANGER,après-midi
43,AROBASE,"arobase, @"
1950,NUANCE,"varier, Nuance, variable, ton"
3896,NS:TIMOTHY(T-NOUVEAU),Timothy
2408,TVA,tva
115,COMME-CA,comme ça
2058,DOLLAR.S,"dollar, $"
3836,MANGER.CUILLER,"manger à la cuiller, déguster, yaourt, céréale"
3481,NS:HYPPOLITE(LUNETTES.C),Hyppolite
2896,NERVEUX.TAUREAU,vraiment nerveux
3598,NS:JONATHAN(Y-DENTS),Jonathan Huet
2531,OR,or
457,QUAND.1,"quand, que"
1419,RYTHME,rythme
4084,COUCHER.2,"coucher, faire l'amour, amant, amante, dormir ensemble"
3416,NS:STELLA(S),Stella
3607,PROBLEME.BONBON,problème
3966,ARGUMENT.PROGRAMME,arguments
3823,BOUILLON.BRAS,poireau
253,FETE,"fête, fêter, faire la fête"
705,NS:BRUXELLES(GARE),"Bruxelles, bruxellois"
1449,NS:GALLAUDET(10-YEUX),"Gallaudet, Gally"
14,AIDER,aider
3247,BOXE,boxe
3341,MINUIT,minuit
544,TROUVER,trouver
3610,ARCHITECTE.SOULIGNER,architecte
1080,CONTRAIRE,"contraire, inverse, inversé, contredire, défi, à l'envers"
1118,EDUCATION,"éducation, éducateur"
3507,NS:ANAIS(J-BOUCHE),Anaïs Janssens
2854,NS:LIBRAS(MAIN-LISTE),Libras
706,BUREAU,"bureau, secrétaire, employé(e)"
2826,CANETTE,"canette, décapsuler, enlever la capsule d'une canette"
1696,NS:ABBE-EPEE(CHAUVE-EPEE),abbé de l'Epée
1206,SEPARER,"séparer, divorcer, divorce, séparation, rupture, écarter"
42,ARABE,arabe
2701,HEURE-1.MONTRE,une heure
4082,JAMBES.CROISER,croiser les jambes
3331,NS:GOOGLE(JUMELLE),Google
2132,SEMAINE-3,trois semaines
4056,ABOYER.GUEULE,aboyer
2201,CANON,canon
1325,CHAMPION,champion
3782,NS:VERVIERS,Verviers
740,ENCADRER,"encadrer, structure, structurer"
3006,MOINS.BAS,"moins, diminuer"
1095,MAL,"mal, aie, avoir mal, fort"
2065,NIVEAU.BRAS,niveau haut
3420,NS:JEAN-CLAUDE(J-JOUE),Jean Claude
111,COLLEGUE.COLLABORATION,"collègue, partenaire, ami, amiable, pari"
3059,ROULER.VOITURE,"rouler une voiture, conduire"
1576,SOLEIL.LEVER,"lever du soleil, coucher du soleil"
3448,NS:JONATHAN(FRANGE,Jonathan
2635,PLACE-CHEF,"à la première place, au sommet, premier, chef, dominant, dominer, grand patron"
216,ENVIE,"envie, avoir envie, vouloir"
975,NUIT,nuit
3296,TEMPS-PASSE,"le temps qui passe, jusqu'aujourd'hui, avancer"
3157,MEMOIRE-VIVE,mémoire
3268,NS:BRESIL(B),Brésil
3444,NS:FLEUR(LPC),"Florence Abrassart, Fleur"
1805,LAPIN,lapin
373,NAIF,"naïf, naïve"
375,NAISSANCE,"naître, naissance, né, accoucher"
3193,SEPARER.ECARTER,"séparer, écarter, prendre de la distance, chacun pour soi, isoler, isolement"
3182,MIROIR,miroir
1557,PARFOIS.PREFERE,"parfois, ça arrive, de temps en temps"
1344,FAIBLE,"faible, léger, épuiser"
2736,MADAME.DOUBLE-MENTON,"madame, dame (jeu de cartes)"
970,JE,je
3554,NS:YOURI(COCU),Youri
925,SOUFFRIR,"souffrir, souffrance, torture"
4004,FRONTIERE.DOUANE,"frontière, barrière, péage, douane, barrage"
3192,INTERDIRE.CROIX,"interdire, interdiction, interdit, supprimer, effacer"
3092,MARRE,"avoir marre, en a marre"
2455,MOIS-2.B,deux mois
2192,NS:RUSSIE(RUE),Russie
1295,ENTERREMENT,"enterrement, enterrer"
2741,POMPAGE,"pompe, pompage, push up"
3031,PROPRIETE,propriétaire
1645,CASSER,"casser, briser, détruire"
3356,CHAUFFAGE,"chauffage, chauffer, radiateur"
